Valid ,at         ,Lon    ,Lat    ,Wind   ,Winddir   ,Wind-sea   ,Swell       ,Swelldir  ,Swellperiod    ,SWH       ,MWH       ,Current  ,SST
11-SEP-2024 ,00   ,66.00  ,24.00   ,9.447   ,WSW    ,1.17      ,0.867   ,SSW     ,10.2   ,1.46    ,2.78    ,0.32     ,28.54
11-SEP-2024 ,06   ,66.00  ,24.00   ,6.944   ,WSW    ,1.14      ,0.839   ,SSW     ,10.3   ,1.42    ,2.70    ,0.19     ,28.52
11-SEP-2024 ,12   ,66.00  ,24.00   ,8.368   ,WSW    ,1.14      ,0.828   ,SSW     ,10.3   ,1.41    ,2.68    ,0.33     ,28.62
11-SEP-2024 ,18   ,66.00  ,24.00   ,7.730   ,SSW    ,1.14      ,0.807   ,SSW     ,10.3   ,1.40    ,2.66    ,0.43     ,28.58
12-SEP-2024 ,00   ,66.00  ,24.00   ,8.822   ,WSW    ,1.18      ,0.816   ,SSW     ,10.2   ,1.44    ,2.73    ,0.44     ,28.55
12-SEP-2024 ,06   ,66.00  ,24.00   ,9.727   ,WSW    ,1.25      ,0.866   ,SSW     ,10.2   ,1.52    ,2.89    ,0.39     ,28.54
12-SEP-2024 ,12   ,66.00  ,24.00   ,12.59   ,WSW    ,1.33      ,0.897   ,SSW     ,10.2   ,1.60    ,3.05    ,0.14     ,28.66
12-SEP-2024 ,18   ,66.00  ,24.00   ,14.63   ,WSW    ,1.43      ,0.922   ,SSW     ,10.2   ,1.70    ,3.24    ,0.28     ,28.59
13-SEP-2024 ,00   ,66.00  ,24.00   ,14.68   ,WSW    ,1.53      ,0.949   ,SSW     ,10.2   ,1.80    ,3.42    ,0.45     ,28.56
13-SEP-2024 ,06   ,66.00  ,24.00   ,13.65   ,WSW    ,1.54      ,0.975   ,SSW     ,10.2   ,1.82    ,3.47    ,0.54     ,28.55
13-SEP-2024 ,12   ,66.00  ,24.00   ,15.43   ,WSW    ,1.58      ,0.937   ,SSW     ,10.1   ,1.83    ,3.49    ,0.35     ,28.63
11-SEP-2024 ,00   ,66.00  ,24.00   ,9.447   ,WSW    ,1.17      ,0.867   ,SSW     ,10.2   ,1.46    ,2.78    ,0.32     ,28.54
11-SEP-2024 ,06   ,66.00  ,24.00   ,6.944   ,WSW    ,1.14      ,0.839   ,SSW     ,10.3   ,1.42    ,2.70    ,0.19     ,28.52
11-SEP-2024 ,12   ,66.00  ,24.00   ,8.368   ,WSW    ,1.14      ,0.828   ,SSW     ,10.3   ,1.41    ,2.68    ,0.33     ,28.62
11-SEP-2024 ,18   ,66.00  ,24.00   ,7.730   ,SSW    ,1.14      ,0.807   ,SSW     ,10.3   ,1.40    ,2.66    ,0.43     ,28.58
12-SEP-2024 ,00   ,66.00  ,24.00   ,8.822   ,WSW    ,1.18      ,0.816   ,SSW     ,10.2   ,1.44    ,2.73    ,0.44     ,28.55
12-SEP-2024 ,06   ,66.00  ,24.00   ,9.727   ,WSW    ,1.25      ,0.866   ,SSW     ,10.2   ,1.52    ,2.89    ,0.39     ,28.54
12-SEP-2024 ,12   ,66.00  ,24.00   ,12.59   ,WSW    ,1.33      ,0.897   ,SSW     ,10.2   ,1.60    ,3.05    ,0.14     ,28.66
12-SEP-2024 ,18   ,66.00  ,24.00   ,14.63   ,WSW    ,1.43      ,0.922   ,SSW     ,10.2   ,1.70    ,3.24    ,0.28     ,28.59
13-SEP-2024 ,00   ,66.00  ,24.00   ,14.68   ,WSW    ,1.53      ,0.949   ,SSW     ,10.2   ,1.80    ,3.42    ,0.45     ,28.56
13-SEP-2024 ,06   ,66.00  ,24.00   ,13.65   ,WSW    ,1.54      ,0.975   ,SSW     ,10.2   ,1.82    ,3.47    ,0.54     ,28.55
13-SEP-2024 ,12   ,66.00  ,24.00   ,15.43   ,WSW    ,1.58      ,0.937   ,SSW     ,10.1   ,1.83    ,3.49    ,0.35     ,28.63
11-SEP-2024 ,00   ,79.60  ,24.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
11-SEP-2024 ,06   ,79.60  ,24.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
11-SEP-2024 ,12   ,79.60  ,24.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
11-SEP-2024 ,18   ,79.60  ,24.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
12-SEP-2024 ,00   ,79.60  ,24.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
12-SEP-2024 ,06   ,79.60  ,24.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
12-SEP-2024 ,12   ,79.60  ,24.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
12-SEP-2024 ,18   ,79.60  ,24.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
13-SEP-2024 ,00   ,79.60  ,24.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
13-SEP-2024 ,06   ,79.60  ,24.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
13-SEP-2024 ,12   ,79.60  ,24.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
11-SEP-2024 ,00   ,79.60  ,24.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
11-SEP-2024 ,06   ,79.60  ,24.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
11-SEP-2024 ,12   ,79.60  ,24.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
11-SEP-2024 ,18   ,79.60  ,24.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
12-SEP-2024 ,00   ,79.60  ,24.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
12-SEP-2024 ,06   ,79.60  ,24.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
12-SEP-2024 ,12   ,79.60  ,24.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
12-SEP-2024 ,18   ,79.60  ,24.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
13-SEP-2024 ,00   ,79.60  ,24.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
13-SEP-2024 ,06   ,79.60  ,24.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
13-SEP-2024 ,12   ,79.60  ,24.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
11-SEP-2024 ,00   ,93.20  ,24.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
11-SEP-2024 ,06   ,93.20  ,24.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
11-SEP-2024 ,12   ,93.20  ,24.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
11-SEP-2024 ,18   ,93.20  ,24.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
12-SEP-2024 ,00   ,93.20  ,24.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
12-SEP-2024 ,06   ,93.20  ,24.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
12-SEP-2024 ,12   ,93.20  ,24.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
12-SEP-2024 ,18   ,93.20  ,24.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
13-SEP-2024 ,00   ,93.20  ,24.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
13-SEP-2024 ,06   ,93.20  ,24.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
13-SEP-2024 ,12   ,93.20  ,24.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
11-SEP-2024 ,00   ,93.20  ,24.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
11-SEP-2024 ,06   ,93.20  ,24.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
11-SEP-2024 ,12   ,93.20  ,24.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
11-SEP-2024 ,18   ,93.20  ,24.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
12-SEP-2024 ,00   ,93.20  ,24.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
12-SEP-2024 ,06   ,93.20  ,24.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
12-SEP-2024 ,12   ,93.20  ,24.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
12-SEP-2024 ,18   ,93.20  ,24.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
13-SEP-2024 ,00   ,93.20  ,24.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
13-SEP-2024 ,06   ,93.20  ,24.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
13-SEP-2024 ,12   ,93.20  ,24.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
11-SEP-2024 ,00   ,66.00  ,20.00   ,12.71   ,WSW    ,1.54      ,0.923   ,SSW     ,10.2   ,1.79    ,3.41    ,0.21     ,27.84
11-SEP-2024 ,06   ,66.00  ,20.00   ,10.09   ,WSW    ,1.56      ,0.898   ,SSW     ,10.2   ,1.80    ,3.43    ,0.15     ,27.80
11-SEP-2024 ,12   ,66.00  ,20.00   ,13.68   ,WSW    ,1.67      ,0.932   ,SSW     ,10.1   ,1.91    ,3.63    ,0.10     ,27.92
11-SEP-2024 ,18   ,66.00  ,20.00   ,11.09   ,WSW    ,1.74      ,1.010   ,SSW     ,10.1   ,2.01    ,3.83    ,0.11     ,27.85
12-SEP-2024 ,00   ,66.00  ,20.00   ,14.34   ,WSW    ,1.79      ,1.032   ,SSW     ,10.2   ,2.06    ,3.92    ,0.22     ,27.81
12-SEP-2024 ,06   ,66.00  ,20.00   ,12.78   ,WSW    ,1.81      ,1.071   ,SSW     ,10.2   ,2.10    ,3.99    ,0.24     ,27.79
12-SEP-2024 ,12   ,66.00  ,20.00   ,13.30   ,WSW    ,1.82      ,1.091   ,SSW     ,10.2   ,2.12    ,4.04    ,0.37     ,27.89
12-SEP-2024 ,18   ,66.00  ,20.00   ,14.74   ,WSW    ,1.84      ,1.106   ,SSW     ,10.2   ,2.14    ,4.07    ,0.18     ,27.83
13-SEP-2024 ,00   ,66.00  ,20.00   ,16.67   ,WSW    ,1.92      ,1.076   ,SSW     ,10.2   ,2.20    ,4.18    ,0.04     ,27.79
13-SEP-2024 ,06   ,66.00  ,20.00   ,18.03   ,WSW    ,2.06      ,1.077   ,SSW     ,10.2   ,2.33    ,4.43    ,0.06     ,27.78
13-SEP-2024 ,12   ,66.00  ,20.00   ,17.73   ,WSW    ,2.15      ,1.117   ,SSW     ,10.1   ,2.43    ,4.61    ,0.32     ,27.88
11-SEP-2024 ,00   ,66.00  ,20.00   ,12.71   ,WSW    ,1.54      ,0.923   ,SSW     ,10.2   ,1.79    ,3.41    ,0.21     ,27.84
11-SEP-2024 ,06   ,66.00  ,20.00   ,10.09   ,WSW    ,1.56      ,0.898   ,SSW     ,10.2   ,1.80    ,3.43    ,0.15     ,27.80
11-SEP-2024 ,12   ,66.00  ,20.00   ,13.68   ,WSW    ,1.67      ,0.932   ,SSW     ,10.1   ,1.91    ,3.63    ,0.10     ,27.92
11-SEP-2024 ,18   ,66.00  ,20.00   ,11.09   ,WSW    ,1.74      ,1.010   ,SSW     ,10.1   ,2.01    ,3.83    ,0.11     ,27.85
12-SEP-2024 ,00   ,66.00  ,20.00   ,14.34   ,WSW    ,1.79      ,1.032   ,SSW     ,10.2   ,2.06    ,3.92    ,0.22     ,27.81
12-SEP-2024 ,06   ,66.00  ,20.00   ,12.78   ,WSW    ,1.81      ,1.071   ,SSW     ,10.2   ,2.10    ,3.99    ,0.24     ,27.79
12-SEP-2024 ,12   ,66.00  ,20.00   ,13.30   ,WSW    ,1.82      ,1.091   ,SSW     ,10.2   ,2.12    ,4.04    ,0.37     ,27.89
12-SEP-2024 ,18   ,66.00  ,20.00   ,14.74   ,WSW    ,1.84      ,1.106   ,SSW     ,10.2   ,2.14    ,4.07    ,0.18     ,27.83
13-SEP-2024 ,00   ,66.00  ,20.00   ,16.67   ,WSW    ,1.92      ,1.076   ,SSW     ,10.2   ,2.20    ,4.18    ,0.04     ,27.79
13-SEP-2024 ,06   ,66.00  ,20.00   ,18.03   ,WSW    ,2.06      ,1.077   ,SSW     ,10.2   ,2.33    ,4.43    ,0.06     ,27.78
13-SEP-2024 ,12   ,66.00  ,20.00   ,17.73   ,WSW    ,2.15      ,1.117   ,SSW     ,10.1   ,2.43    ,4.61    ,0.32     ,27.88
11-SEP-2024 ,00   ,79.60  ,20.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
11-SEP-2024 ,06   ,79.60  ,20.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
11-SEP-2024 ,12   ,79.60  ,20.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
11-SEP-2024 ,18   ,79.60  ,20.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
12-SEP-2024 ,00   ,79.60  ,20.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
12-SEP-2024 ,06   ,79.60  ,20.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
12-SEP-2024 ,12   ,79.60  ,20.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
12-SEP-2024 ,18   ,79.60  ,20.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
13-SEP-2024 ,00   ,79.60  ,20.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
13-SEP-2024 ,06   ,79.60  ,20.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
13-SEP-2024 ,12   ,79.60  ,20.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
11-SEP-2024 ,00   ,79.60  ,20.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
11-SEP-2024 ,06   ,79.60  ,20.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
11-SEP-2024 ,12   ,79.60  ,20.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
11-SEP-2024 ,18   ,79.60  ,20.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
12-SEP-2024 ,00   ,79.60  ,20.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
12-SEP-2024 ,06   ,79.60  ,20.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
12-SEP-2024 ,12   ,79.60  ,20.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
12-SEP-2024 ,18   ,79.60  ,20.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
13-SEP-2024 ,00   ,79.60  ,20.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
13-SEP-2024 ,06   ,79.60  ,20.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
13-SEP-2024 ,12   ,79.60  ,20.00   ,-99     ,-99    ,-99       ,-99     ,-99     ,-99    ,-99     ,-99     ,....     ,.... 
11-SEP-2024 ,00   ,93.20  ,20.00   ,4.258   ,WNW    ,1.30      ,1.121   ,SSW     ,10.2   ,1.72    ,3.27    ,....     ,.... 
11-SEP-2024 ,06   ,93.20  ,20.00   ,5.884   ,WSW    ,1.29      ,0.928   ,SSW     ,10.1   ,1.59    ,3.02    ,....     ,.... 
11-SEP-2024 ,12   ,93.20  ,20.00   ,7.000   ,WSW    ,1.32      ,0.791   ,SSW     ,10.1   ,1.54    ,2.93    ,....     ,.... 
11-SEP-2024 ,18   ,93.20  ,20.00   ,6.910   ,SSW    ,1.34      ,0.732   ,SSW     ,10.1   ,1.53    ,2.91    ,....     ,.... 
12-SEP-2024 ,00   ,93.20  ,20.00   ,10.15   ,SSW    ,1.49      ,0.692   ,SSW     ,10.2   ,1.64    ,3.12    ,....     ,.... 
12-SEP-2024 ,06   ,93.20  ,20.00   ,11.99   ,SSW    ,1.50      ,0.657   ,SSW     ,10.2   ,1.63    ,3.11    ,....     ,.... 
12-SEP-2024 ,12   ,93.20  ,20.00   ,7.648   ,SSW    ,1.37      ,0.618   ,SSW     ,10.2   ,1.50    ,2.85    ,....     ,.... 
12-SEP-2024 ,18   ,93.20  ,20.00   ,8.682   ,SSW    ,1.33      ,0.573   ,SSW     ,10.2   ,1.44    ,2.75    ,....     ,.... 
13-SEP-2024 ,00   ,93.20  ,20.00   ,10.33   ,SSW    ,1.29      ,0.527   ,SSW     ,10.2   ,1.39    ,2.65    ,....     ,.... 
13-SEP-2024 ,06   ,93.20  ,20.00   ,8.821   ,SSW    ,1.26      ,0.495   ,SSW     ,10.1   ,1.35    ,2.57    ,....     ,.... 
13-SEP-2024 ,12   ,93.20  ,20.00   ,5.768   ,SSW    ,1.22      ,0.480   ,SSW     ,10.1   ,1.31    ,2.50    ,....     ,.... 
11-SEP-2024 ,00   ,93.20  ,20.00   ,4.258   ,WNW    ,1.30      ,1.121   ,SSW     ,10.2   ,1.72    ,3.27    ,....     ,.... 
11-SEP-2024 ,06   ,93.20  ,20.00   ,5.884   ,WSW    ,1.29      ,0.928   ,SSW     ,10.1   ,1.59    ,3.02    ,....     ,.... 
11-SEP-2024 ,12   ,93.20  ,20.00   ,7.000   ,WSW    ,1.32      ,0.791   ,SSW     ,10.1   ,1.54    ,2.93    ,....     ,.... 
11-SEP-2024 ,18   ,93.20  ,20.00   ,6.910   ,SSW    ,1.34      ,0.732   ,SSW     ,10.1   ,1.53    ,2.91    ,....     ,.... 
12-SEP-2024 ,00   ,93.20  ,20.00   ,10.15   ,SSW    ,1.49      ,0.692   ,SSW     ,10.2   ,1.64    ,3.12    ,....     ,.... 
12-SEP-2024 ,06   ,93.20  ,20.00   ,11.99   ,SSW    ,1.50      ,0.657   ,SSW     ,10.2   ,1.63    ,3.11    ,....     ,.... 
12-SEP-2024 ,12   ,93.20  ,20.00   ,7.648   ,SSW    ,1.37      ,0.618   ,SSW     ,10.2   ,1.50    ,2.85    ,....     ,.... 
12-SEP-2024 ,18   ,93.20  ,20.00   ,8.682   ,SSW    ,1.33      ,0.573   ,SSW     ,10.2   ,1.44    ,2.75    ,....     ,.... 
13-SEP-2024 ,00   ,93.20  ,20.00   ,10.33   ,SSW    ,1.29      ,0.527   ,SSW     ,10.2   ,1.39    ,2.65    ,....     ,.... 
13-SEP-2024 ,06   ,93.20  ,20.00   ,8.821   ,SSW    ,1.26      ,0.495   ,SSW     ,10.1   ,1.35    ,2.57    ,....     ,.... 
